0_name_trader,allocation_0,allocation_scaler_0,allocation_scaler_1,allocation_scaler_2,name_0_strategy,name_1_super,name_2_super,MixMultiplier_on_strategy,MixPercentage_on_strategy,MixMultiplier_AIO,Strategy_Scaler
DLpp_ZZTA@192.168.1.61@35308,0.0667764938020988,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.22612347433451982,0.1000000000000002,0.022612347433452026,2.8029277175978624
DLv_DLpp@192.168.1.61@35309,0.0996184319954794,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.3373352607780508,0.1000000000000002,0.03373352607780515,2.8029277175978624
DLv_SQbu@192.168.1.61@35310,0.0543796849763833,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.1841444885758587,0.1000000000000002,0.018414448857585905,2.8029277175978624
DLv_SQru@192.168.1.61@35311,0.0665488791642298,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.22535270890803805,0.1000000000000002,0.02253527089080385,2.8029277175978624
DLv_ZZMA@192.168.1.61@35312,0.0660831095594436,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.22377548561767174,0.1000000000000002,0.02237754856176722,2.8029277175978624
DLv_ZZTA@192.168.1.61@35313,0.0603759640433186,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.20444952974368574,0.1000000000000002,0.020444952974368616,2.8029277175978624
ZZMA_SQbu@192.168.1.61@35314,0.0557902889740585,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.18892117957448754,0.1000000000000002,0.01889211795744879,2.8029277175978624
ZZMA_SQru@192.168.1.61@35315,0.0618950700543784,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.2095936382397281,0.1000000000000002,0.02095936382397285,2.8029277175978624
SQal_SQni@192.168.1.61@35401,0.0918115358843918,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.38216032871811667,0.1000000000000002,0.038216032871811745,2.8029277175978624
SQal_SQsn@192.168.1.61@35402,0.130920897486694,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.5449508358359959,0.1000000000000002,0.054495083583599696,2.8029277175978624
SQal_SQzn@192.168.1.61@35403,0.114431525534087,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.47631475710076504,0.1000000000000002,0.0476314757100766,2.8029277175978624
SQau2_SQag@192.168.1.61@35404,0.190143781287045,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.7914627422403911,0.1000000000000002,0.07914627422403928,2.8029277175978624
SQcu_SQal@192.168.1.61@35405,0.200119721528977,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.832987029634184,0.1000000000000002,0.08329870296341857,2.8029277175978624
SQcu_SQni@192.168.1.61@35406,0.0944136623294163,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.39299153296731737,0.1000000000000002,0.039299153296731816,2.8029277175978624
SQzn_SQni@192.168.1.61@35407,0.0805618232190723,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.33533403560854097,0.1000000000000002,0.033533403560854165,2.8029277175978624
SQzn_SQsn@192.168.1.61@35408,0.0975970527303161,1.48503418463143,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3,Day,Allocation ss8,0.4062422155784639,0.1000000000000002,0.04062422155784647,2.8029277175978624
SQfu_DLl@192.168.1.53@36903,0.117326069857203,0.596080858559661,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All,Day,Allocation ss8,0.1960250608093234,0.1000000000000002,0.019602506080932378,2.8029277175978624
SQfu_DLpp@192.168.1.53@36908,0.122215990772656,0.596080858559661,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All,Day,Allocation ss8,0.20419500160740092,0.1000000000000002,0.020419500160740133,2.8029277175978624
SQfu_DLv@192.168.1.53@36913,0.112368009250343,0.596080858559661,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All,Day,Allocation ss8,0.18774127415270955,0.1000000000000002,0.018774127415270993,2.8029277175978624
SQfu_SQbu@192.168.1.53@36918,0.144989560508052,0.596080858559661,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All,Day,Allocation ss8,0.24224443424977712,0.1000000000000002,0.02422444342497776,2.8029277175978624
